,Disaster Number,IH Program Declared,IA Program Declared,PA Program Declared,HM Program Declared,State ,Declaration Date,Disaster Type,Incident Type,Title,Incident Begin Date,Incident End Date,Place Code,Declared County/Area,Declaration Request Number,Incident Duration Days,time
1344,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99065.0,Jefferson (County),17103.0,44 days 00:00:00.000000000,2017Q3
1345,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99067.0,Lafayette (County),17103.0,44 days 00:00:00.000000000,2017Q3
1346,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99069.0,Lake (County),17103.0,44 days 00:00:00.000000000,2017Q3
1347,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99071.0,Lee (County),17103.0,44 days 00:00:00.000000000,2017Q3
1348,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99073.0,Leon (County),17103.0,44 days 00:00:00.000000000,2017Q3
1349,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99075.0,Levy (County),17103.0,44 days 00:00:00.000000000,2017Q3
1350,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99077.0,Liberty (County),17103.0,44 days 00:00:00.000000000,2017Q3
1351,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99079.0,Madison (County),17103.0,44 days 00:00:00.000000000,2017Q3
1352,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99081.0,Manatee (County),17103.0,44 days 00:00:00.000000000,2017Q3
1353,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99083.0,Marion (County),17103.0,44 days 00:00:00.000000000,2017Q3
1354,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99085.0,Martin (County),17103.0,44 days 00:00:00.000000000,2017Q3
1355,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99086.0,Miami-Dade (County),17103.0,44 days 00:00:00.000000000,2017Q3
1356,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99087.0,Monroe (County),17103.0,44 days 00:00:00.000000000,2017Q3
1357,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99089.0,Nassau (County),17103.0,44 days 00:00:00.000000000,2017Q3
1358,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99091.0,Okaloosa (County),17103.0,44 days 00:00:00.000000000,2017Q3
1359,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99093.0,Okeechobee (County),17103.0,44 days 00:00:00.000000000,2017Q3
1360,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99095.0,Orange (County),17103.0,44 days 00:00:00.000000000,2017Q3
1361,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99097.0,Osceola (County),17103.0,44 days 00:00:00.000000000,2017Q3
1362,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99099.0,Palm Beach (County),17103.0,44 days 00:00:00.000000000,2017Q3
1363,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99101.0,Pasco (County),17103.0,44 days 00:00:00.000000000,2017Q3
1364,4337.0,Yes,No,Yes,Yes,FL,9/10/2017,DR,Hurricane,HURRICANE IRMA,2017-09-04,2017-10-18,99103.0,Pinellas (County),17103.0,44 days 00:00:00.000000000,2017Q3
