State,Filed week ended,Initial Claims,Reflecting Week Ended,Continued Claims,Covered Employment,Insured Unemployment Rate
Texas,6/17/17,"15,593",6/10/17,"149,920","11,512,952",1.3
Texas,6/24/17,"15,407",6/17/17,"151,376","11,512,952",1.31
Texas,7/1/17,"14,052",6/24/17,"151,427","11,512,952",1.32
Texas,7/8/17,"13,296",7/1/17,"148,194","11,545,879",1.28
Texas,7/15/17,"14,448",7/8/17,"153,336","11,545,879",1.33
Texas,7/22/17,"13,607",7/15/17,"153,020","11,545,879",1.33
Texas,7/29/17,"13,166",7/22/17,"152,941","11,545,879",1.32
Texas,8/5/17,"14,081",7/29/17,"147,742","11,545,879",1.28
Texas,8/12/17,"13,218",8/5/17,"146,399","11,545,879",1.27
Texas,8/19/17,"13,290",8/12/17,"146,555","11,545,879",1.27
Texas,8/26/17,"12,105",8/19/17,"143,964","11,545,879",1.25
Texas,9/2/17,"63,788",8/26/17,"135,605","11,545,879",1.17
Texas,9/9/17,"52,024",9/2/17,"128,496","11,545,879",1.11
Texas,9/16/17,"28,387",9/9/17,"193,355","11,545,879",1.67
Texas,9/23/17,"20,104",9/16/17,"156,703","11,545,879",1.36
Texas,9/30/17,"17,063",9/23/17,"163,562","11,545,879",1.42
Texas,10/7/17,"16,656",9/30/17,"133,903","11,545,879",1.16
Texas,10/14/17,"14,865",10/7/17,"145,286","11,604,324",1.25
Texas,10/21/17,"15,164",10/14/17,"128,786","11,604,324",1.11
Texas,10/28/17,"14,423",10/21/17,"143,632","11,604,324",1.24
Texas,11/4/17,"14,937",10/28/17,"124,127","11,604,324",1.07
Texas,11/11/17,"14,719",11/4/17,"136,990","11,604,324",1.18
Texas,11/18/17,"15,826",11/11/17,"125,798","11,604,324",1.08
Texas,11/25/17,"10,737",11/18/17,"134,210","11,604,324",1.16
Texas,12/2/17,"19,599",11/25/17,"140,371","11,604,324",1.21
Texas,12/9/17,"14,375",12/2/17,"135,717","11,604,324",1.17
Texas,12/16/17,"14,244",12/9/17,"136,339","11,604,324",1.17
Texas,12/23/17,"14,138",12/16/17,"139,198","11,604,324",1.2
Texas,12/30/17,"9,919",12/23/17,"133,078","11,604,324",1.15
Texas,1/6/18,"14,973",12/30/17,"148,901","11,604,324",1.28
Texas,1/13/18,"20,540",1/6/18,"144,179","11,706,892",1.23
Texas,1/20/18,"12,793",1/13/18,"144,349","11,706,892",1.23
Texas,1/27/18,"14,275",1/20/18,"140,604","11,706,892",1.2
Texas,2/3/18,"14,131",1/27/18,"136,766","11,706,892",1.17
Texas,2/10/18,"13,738",2/3/18,"129,893","11,706,892",1.11
Texas,2/17/18,"13,044",2/10/18,"132,190","11,706,892",1.13
Texas,2/24/18,"11,697",2/17/18,"129,920","11,706,892",1.11
Texas,3/3/18,"12,570",2/24/18,"129,999","11,706,892",1.11
Texas,3/10/18,"12,848",3/3/18,"123,876","11,706,892",1.06
Texas,3/17/18,"11,837",3/10/18,"121,792","11,706,892",1.04
Texas,3/24/18,"14,723",3/17/18,"129,028","11,706,892",1.1
Texas,3/31/18,"11,603",3/24/18,"120,161","11,706,892",1.03
Texas,4/7/18,"15,108",3/31/18,"122,403","11,706,892",1.05
Texas,4/14/18,"12,698",4/7/18,"116,302","11,758,426",0.99
Texas,4/21/18,"12,221",4/14/18,"123,990","11,758,426",1.05
Texas,4/28/18,"12,086",4/21/18,"116,000","11,758,426",0.99
Texas,5/5/18,"13,780",4/28/18,"119,587","11,758,426",1.02
Texas,5/12/18,"13,755",5/5/18,"111,246","11,758,426",0.95
Texas,5/19/18,"13,953",5/12/18,"119,249","11,758,426",1.01
Texas,5/26/18,"12,836",5/19/18,"114,482","11,758,426",0.97
Texas,6/2/18,"12,227",5/26/18,"119,288","11,758,426",1.01
Texas,6/9/18,"14,504",6/2/18,"114,916","11,758,426",0.98
Texas,6/16/18,"14,167",6/9/18,"124,031","11,758,426",1.05
Texas,6/23/18,"13,474",6/16/18,"123,164","11,758,426",1.05
Texas,6/30/18,"13,599",6/23/18,"127,099","11,758,426",1.08
Texas,7/7/18,"13,353",6/30/18,"121,374","11,758,426",1.03
Texas,7/14/18,"13,703",7/7/18,"128,248","11,814,674",1.09
Texas,7/21/18,"12,549",7/14/18,"128,927","11,814,674",1.09
Texas,7/28/18,"11,737",7/21/18,"128,021","11,814,674",1.08
Texas,8/4/18,"12,275",7/28/18,"126,064","11,814,674",1.07
Texas,8/11/18,"11,658",8/4/18,"121,012","11,814,674",1.02
Texas,8/18/18,"11,760",8/11/18,"123,315","11,814,674",1.04
Texas,8/25/18,"11,956",8/18/18,"118,707","11,814,674",1
Texas,9/1/18,"11,301",8/25/18,"117,867","11,814,674",1
Texas,9/8/18,"10,838",9/1/18,"108,307","11,814,674",0.92
Texas,9/15/18,"11,857",9/8/18,"113,501","11,814,674",0.96
Texas,9/22/18,"10,994",9/15/18,"107,078","11,814,674",0.91
Texas,9/29/18,"10,447",9/22/18,"109,704","11,814,674",0.93
Texas,10/6/18,"11,980",9/29/18,"102,275","11,814,674",0.87
Texas,10/13/18,"11,802",10/6/18,"101,178","11,882,030",0.85
Texas,10/20/18,"12,422",10/13/18,"100,658","11,882,030",0.85
Texas,10/27/18,"12,201",10/20/18,"103,365","11,882,030",0.87
Texas,11/3/18,"12,808",10/27/18,"100,698","11,882,030",0.85
Texas,11/10/18,"14,597",11/3/18,"101,478","11,882,030",0.85
Texas,11/17/18,"15,133",11/10/18,"102,757","11,882,030",0.86
Texas,11/24/18,"9,653",11/17/18,"103,598","11,882,030",0.87
Texas,12/1/18,"17,035",11/24/18,"119,851","11,882,030",1.01
Texas,12/8/18,"14,041",12/1/18,"110,762","11,882,030",0.93
Texas,12/15/18,"13,461",12/8/18,"114,652","11,882,030",0.96
Texas,12/22/18,"13,894",12/15/18,"113,231","11,882,030",0.95
Texas,12/29/18,"9,090",12/22/18,"112,980","11,882,030",0.95
Texas,1/5/19,"12,905",12/29/18,"123,402","11,882,030",1.04
Texas,1/12/19,"20,493",1/5/19,"129,887","11,941,735",1.09
Texas,1/19/19,"17,453",1/12/19,"128,985","11,941,735",1.08
Texas,1/26/19,"12,479",1/19/19,"123,476","11,941,735",1.03
Texas,2/2/19,"14,161",1/26/19,"121,027","11,941,735",1.01
Texas,2/9/19,"13,526",2/2/19,"115,008","11,941,735",0.96
Texas,2/16/19,"12,388",2/9/19,"117,176","11,941,735",0.98
Texas,2/23/19,"11,766",2/16/19,"117,832","11,941,735",0.99
Texas,3/2/19,"12,099",2/23/19,"116,340","11,941,735",0.97
Texas,3/9/19,"12,760",3/2/19,"112,808","11,941,735",0.94
Texas,3/16/19,"11,580",3/9/19,"113,456","11,941,735",0.95
Texas,3/23/19,"14,382",3/16/19,"117,994","11,941,735",0.99
Texas,3/30/19,"12,327",3/23/19,"113,639","11,941,735",0.95
Texas,4/6/19,"13,093",3/30/19,"111,714","11,941,735",0.94
Texas,4/13/19,"13,868",4/6/19,"107,707","12,017,875",0.9
Texas,4/20/19,"11,439",4/13/19,"107,033","12,017,875",0.89
Texas,4/27/19,"12,084",4/20/19,"111,704","12,017,875",0.93
Texas,5/4/19,"12,748",4/27/19,"109,585","12,017,875",0.91
Texas,5/11/19,"12,959",5/4/19,"108,102","12,017,875",0.9
Texas,5/18/19,"13,807",5/11/19,"110,505","12,017,875",0.92
Texas,5/25/19,"14,355",5/18/19,"113,260","12,017,875",0.94
Texas,6/1/19,"12,773",5/25/19,"113,823","12,017,875",0.95
